"index","dbpedia"
3403,http://dbpedia.org/resource/Ye_Xiaogang
3404,http://dbpedia.org/resource/Francesco_Corselli
3405,http://dbpedia.org/resource/Arnolt_Schlick
3406,http://dbpedia.org/resource/Christian_Erbach
3407,http://dbpedia.org/resource/Monty_Adkins
3408,http://dbpedia.org/resource/Cipriano_de_Rore
3409,http://dbpedia.org/resource/Alexander_Borodin
3410,http://dbpedia.org/resource/Ivan_Karabyts
3411,http://dbpedia.org/resource/Robert_Cambert
3412,http://dbpedia.org/resource/Alexander_Kholminov
3413,http://dbpedia.org/resource/Joseph_Michel
3414,http://dbpedia.org/resource/John_Blow
3415,http://dbpedia.org/resource/Wipo_of_Burgundy
3416,http://dbpedia.org/resource/Santiago_de_Murcia
3417,http://dbpedia.org/resource/Girolamo_Dalla_Casa
3418,http://dbpedia.org/resource/Leó_Weiner
3419,http://dbpedia.org/resource/Johann_Jakob_Walther
3420,http://dbpedia.org/resource/Michel_Sogny
3421,http://dbpedia.org/resource/August_Bernhard_Valentin_Herbing
3422,http://dbpedia.org/resource/Peter_of_Blois
3423,http://dbpedia.org/resource/Paul_de_Maleingreau
3424,http://dbpedia.org/resource/Guillaume_Du_Fay
3425,http://dbpedia.org/resource/George_Walker_(composer)
3426,http://dbpedia.org/resource/Gabriel_Yacoub
3427,http://dbpedia.org/resource/Jean_Buridan
3428,http://dbpedia.org/resource/Estienne_du_Tertre
3429,http://dbpedia.org/resource/Toru_Takemitsu
3430,http://dbpedia.org/resource/Francesco_Rognoni_Taeggio
3431,http://dbpedia.org/resource/Maestro_Piero
3432,http://dbpedia.org/resource/Anders_Nilsson_(composer)
3433,http://dbpedia.org/resource/Lorenz_Lemlin
3434,http://dbpedia.org/resource/Juan_de_Navas
3435,http://dbpedia.org/resource/Nicolas
3436,http://dbpedia.org/resource/Francesco_Barsanti
3437,http://dbpedia.org/resource/Matthias_van_den_Gheyn
3438,http://dbpedia.org/resource/Luca_Marenzio
3439,http://dbpedia.org/resource/Michael_Gordon_(composer)
3440,http://dbpedia.org/resource/Mikis_Theodorakis
3441,http://dbpedia.org/resource/Juliette_(French_singer)
3442,http://dbpedia.org/resource/Giovanni_Battista_Ferrandini
3443,http://dbpedia.org/resource/Giovanni_Pierluigi_da_Palestrina
3444,http://dbpedia.org/resource/Nicola_Fiorenza
3445,http://dbpedia.org/resource/Manuel_Correia
3446,http://dbpedia.org/resource/Jacques_Duphly
3447,http://dbpedia.org/resource/Gérard_Presgurvic
3448,http://dbpedia.org/resource/Johann_Heinrich_Schmelzer
3449,http://dbpedia.org/resource/John_Hawkins_(Canadian_composer)
3450,http://dbpedia.org/resource/Dieterich_Buxtehude
3451,http://dbpedia.org/resource/Giovanni_Battista_Fontana_(composer)
3452,http://dbpedia.org/resource/Evaristo_Felice_Dall'Abaco
3453,http://dbpedia.org/resource/Walter_of_Châtillon
3454,http://dbpedia.org/resource/Girolamo_Crescentini
3455,http://dbpedia.org/resource/Emmanuel_Nunes
3456,http://dbpedia.org/resource/Francesco_Molino
3457,http://dbpedia.org/resource/Gregory_Vajda
3458,http://dbpedia.org/resource/Thomas_Robinson_(composer)
3459,http://dbpedia.org/resource/Pomponio_Nenna
3460,http://dbpedia.org/resource/Chrétien_de_Troyes
3461,http://dbpedia.org/resource/Arthur_Lourié
3462,http://dbpedia.org/resource/Juan_Navarro_Hispalensis
3463,http://dbpedia.org/resource/Léonard_de_Hodémont
3464,http://dbpedia.org/resource/David_Matthews_(composer)
3465,http://dbpedia.org/resource/Carl_Millöcker
3466,http://dbpedia.org/resource/Giacobbe_Cervetto
3467,http://dbpedia.org/resource/Flint_Juventino_Beppe
3468,http://dbpedia.org/resource/Dmitri_Smirnov_(composer)
3469,http://dbpedia.org/resource/Denis_Gaultier
3470,http://dbpedia.org/resource/José_de_Torres
3471,http://dbpedia.org/resource/Hervé_Roullet
3472,http://dbpedia.org/resource/Ahmed_Essyad
3473,http://dbpedia.org/resource/Joseph_Gelinek
3474,http://dbpedia.org/resource/Cláudio_Santoro
3475,http://dbpedia.org/resource/Tom_Johnson_(composer)
3476,http://dbpedia.org/resource/José_María_Sánchez
3477,http://dbpedia.org/resource/Émile_Desportes
3478,http://dbpedia.org/resource/Louis-Emmanuel_Jadin
3479,http://dbpedia.org/resource/Christoph_Willibald_Gluck
3480,http://dbpedia.org/resource/Lorenzo_Allegri
3481,http://dbpedia.org/resource/Giorgio_Mainerio
3482,http://dbpedia.org/resource/Gaucelm_Faidit
3483,http://dbpedia.org/resource/Brian_Kay
3484,http://dbpedia.org/resource/Bartomeu_Càrceres
3485,http://dbpedia.org/resource/Philip_Martin_(pianist)
3486,http://dbpedia.org/resource/Matthew_Locke_(composer)
3487,http://dbpedia.org/resource/Norman_Lloyd_(composer)
3488,http://dbpedia.org/resource/Fulbert_of_Chartres
3489,http://dbpedia.org/resource/Antonio_Lolli
3490,http://dbpedia.org/resource/Miguel_Llobet
3491,http://dbpedia.org/resource/Charles_Piroye
3492,http://dbpedia.org/resource/Percy_Grainger
3493,http://dbpedia.org/resource/Clement_Woodcock
3494,http://dbpedia.org/resource/Edison_Denisov
3495,http://dbpedia.org/resource/Hideo_Saito_(musician)
3496,http://dbpedia.org/resource/Pierre_Robert_(composer)
3497,http://dbpedia.org/resource/Diego_Ortiz
3498,http://dbpedia.org/resource/Johannes_Ockeghem
3499,http://dbpedia.org/resource/Nicolas_Gombert
3500,http://dbpedia.org/resource/Giovanni_Paolo_Cima
3501,http://dbpedia.org/resource/Robert_Aitken_(composer)
3502,http://dbpedia.org/resource/Antonia_Bembo
3503,http://dbpedia.org/resource/Michele_Novaro
3504,http://dbpedia.org/resource/Stephen_Darlington
3505,http://dbpedia.org/resource/Giovanni_Salvatore
3506,http://dbpedia.org/resource/Iain_Farrington
3507,http://dbpedia.org/resource/Conrad_Paumann
3508,http://dbpedia.org/resource/Tôn
3509,http://dbpedia.org/resource/Maurizio_Cazzati
3510,http://dbpedia.org/resource/Ercole_Pasquini
3511,http://dbpedia.org/resource/Pierre_Fontaine_(composer)
3512,http://dbpedia.org/resource/Heinrich_von_Louffenburg
3513,http://dbpedia.org/resource/Alexandro_Marie_Antoin_Fridzeri
3514,http://dbpedia.org/resource/John_Bennett_(composer)
3515,http://dbpedia.org/resource/Nicholas_Strogers
3516,http://dbpedia.org/resource/Matthias_Weckmann
3517,http://dbpedia.org/resource/Vladimir_Martynov
3518,http://dbpedia.org/resource/Walford_Davies
3519,http://dbpedia.org/resource/John_Mundy_(composer)
3520,http://dbpedia.org/resource/François_Dufault
3521,http://dbpedia.org/resource/Andrew_York_(guitarist)
3522,http://dbpedia.org/resource/Karlheinz_Essl
3523,http://dbpedia.org/resource/Teizo_Matsumura
3524,http://dbpedia.org/resource/Michel_Richard_Delalande
3525,http://dbpedia.org/resource/Francisco_López_Capillas
3526,http://dbpedia.org/resource/Chen_Yi_(composer)
3527,http://dbpedia.org/resource/William_Cornysh
3528,http://dbpedia.org/resource/Christopher_Rouse_(composer)
3529,http://dbpedia.org/resource/George_Malcolm_(musician)
3530,http://dbpedia.org/resource/Josef_Szulc
3531,http://dbpedia.org/resource/Robert_Jones_(composer)
3532,http://dbpedia.org/resource/Fanny_Mendelssohn
3533,http://dbpedia.org/resource/Dolly_Parton
3534,http://dbpedia.org/resource/Élisabeth_Jacquet_de_La_Guerre
3535,http://dbpedia.org/resource/Tiburtio_Massaino
3536,http://dbpedia.org/resource/David_Briggs_(English_musician)
3537,http://dbpedia.org/resource/Peter_Garland_(composer)
3538,http://dbpedia.org/resource/Scott_Joplin
3539,http://dbpedia.org/resource/Roland_Marais
3540,http://dbpedia.org/resource/Francisco_Valls
3541,http://dbpedia.org/resource/Sergei_Rachmaninoff
3542,http://dbpedia.org/resource/Paolo_Pandolfo
3543,http://dbpedia.org/resource/Juan_Vásquez_(composer)
3544,http://dbpedia.org/resource/Pierre_Certon
3545,http://dbpedia.org/resource/Stefano_Bernardi
3546,http://dbpedia.org/resource/Jean_l'Héritier
3547,http://dbpedia.org/resource/Ernst_Levy
3548,http://dbpedia.org/resource/Giovanni_Gabrieli
3549,http://dbpedia.org/resource/Thanos_Mikroutsikos
3550,http://dbpedia.org/resource/Eloy_d'Amerval
3551,http://dbpedia.org/resource/Le_Sieur_de_Machy
3552,http://dbpedia.org/resource/Christian_Geist
3553,http://dbpedia.org/resource/Andreas_Lidel
3554,http://dbpedia.org/resource/Régis_Gizavo
3555,http://dbpedia.org/resource/Johann_Andreas_Kauchlitz_Colizzi
3556,http://dbpedia.org/resource/Claudin_de_Sermisy
3557,http://dbpedia.org/resource/Chuck_Berry
3558,http://dbpedia.org/resource/Philip_van_Wilder
3559,http://dbpedia.org/resource/Jean_Théodore_Latour
3560,http://dbpedia.org/resource/Giuseppe_Cambini
3561,http://dbpedia.org/resource/John_Browne_(composer)
3562,http://dbpedia.org/resource/Henri-Joseph_Rigel
3563,http://dbpedia.org/resource/José_de_Cascante
3564,http://dbpedia.org/resource/Anton_Eberl
3565,http://dbpedia.org/resource/Javier_Álvarez_(composer)
3566,http://dbpedia.org/resource/Avi_Schönfeld
3567,http://dbpedia.org/resource/Sergei_Prokofiev
3568,http://dbpedia.org/resource/Marc-Antoine_Charpentier
3569,http://dbpedia.org/resource/Benedetto_Pallavicino
3570,http://dbpedia.org/resource/Richard_Allison_(composer)
3571,http://dbpedia.org/resource/Anne_Sylvestre
3572,http://dbpedia.org/resource/Gunnar_Berg_(composer)
