3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,coordinates
http://data.linkedevents.org/location/98e8c902-3d81-35dd-89cc-ae7271c33d72,Aeroport Nice Côte-d'Azur,Aéroport Nice Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,100.0,"(43.695, 7.26261)"
http://data.linkedevents.org/location/0e3c6deb-ce1b-3632-bc5f-9b72ec774416,Allianz Riviera,Allianz Riviera,http://dbpedia.org/resource/Allianz_Riviera,100.0,"(43.7327, 7.18464)"
http://data.linkedevents.org/location/c5e5c428-0342-330e-be99-351a9c1c936f,Avenue Jean Médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0,"(43.7009, 7.26786)"
http://data.linkedevents.org/location/998bc434-34ac-4ccd-aaf1-6d627a5b832c,Avenue Jean médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0,"(43.7006, 7.26802)"
http://data.linkedevents.org/location/1db0128e-60f3-32ef-8241-de334d241ad8,Avenue Jean-Médecin,Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,100.0,"(43.7006, 7.26802)"
http://data.linkedevents.org/location/5c2fe4dd-fa05-3211-adaf-32f7652e21a8,Aéroport Nice Côte d’Azur,Aéroport Nice Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,100.0,"(43.6607, 7.20892)"
http://data.linkedevents.org/location/1acb1681-f68e-44d5-9935-461094849699,Aéroport de Nice-Côte d'Azur,Aéroport de Nice-Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,100.0,"(43.6656, 7.21461)"
http://data.linkedevents.org/location/fe4f6290-77c5-33e5-82eb-a6edf97067d6,Basilique Notre-Dame de Nice,Basilique Notre-Dame de Nice,http://dbpedia.org/resource/Notre-Dame_de_Nice,100.0,"(43.7032, 7.26579)"
http://data.linkedevents.org/location/477208d2-9ce0-310d-b39d-e4fb4aeff229,Cantón de Saint-Laurent-du-Var-Cagnes-sur-Mer-Este,Cantón de Saint-Laurent-du-Var-Cagnes-sur-Mer-Este,http://dbpedia.org/resource/Canton_of_Saint-Laurent-du-Var-Cagnes-sur-Mer-Est,100.0,"(43.6681, 7.18806)"
http://data.linkedevents.org/location/a540e533-b401-3a7b-9a03-5bb88d551d6a,Cantón de Villefranche-sur-Mer,Canton de Villefranche-sur-Mer,http://dbpedia.org/resource/Canton_of_Villefranche-sur-Mer,100.0,"(43.705, 7.3125)"
http://data.linkedevents.org/location/bad5f672-098a-35a1-9137-50c8dffee878,Carnaval De Nice,Carnaval de Nice,http://dbpedia.org/resource/Nice_Carnival,100.0,"(43.6971, 7.27081)"
http://data.linkedevents.org/location/4f65536a-760a-3393-bc68-fdaf230c5c85,Castle of Nice,Castle of Nice,http://dbpedia.org/resource/Castle_of_Nice,100.0,"(43.696, 7.27968)"
http://data.linkedevents.org/location/2f46028d-567c-4b0c-998a-0844562c7c41,Cathédrale Saint-Nicolas de Nice,Cathédrale Saint-Nicolas de Nice,"http://dbpedia.org/resource/Russian_Orthodox_Cathedral,_Nice",100.0,"(43.7038, 7.25397)"
http://data.linkedevents.org/location/c815138a-075d-4736-9302-1b6695429470,Château de Nice,Château de Nice,http://dbpedia.org/resource/Castle_of_Nice,100.0,"(43.696, 7.27968)"
http://data.linkedevents.org/location/7a47c850-88e1-3b25-8ddb-6dcefef9c4c3,Cimetière du Château,Cimetière du Château,http://dbpedia.org/resource/Cimetière_du_Château,100.0,"(43.6981, 7.28057)"
http://data.linkedevents.org/location/224d7a02-67b6-3e61-9d1e-b28fbf55aa8d,Cimetière du château,Cimetière du Château,http://dbpedia.org/resource/Cimetière_du_Château,100.0,"(43.6961, 7.27179)"
http://data.linkedevents.org/location/89ebd637-984e-3444-a22c-cc7bd04694d8,Falicon,Falicon,http://dbpedia.org/resource/Falicon,100.0,"(43.75, 7.28333)"
http://data.linkedevents.org/location/5207780a-8983-3748-8259-6fa517ce4024,Grand Hotel Du Cap Ferrat,Grand-Hôtel du Cap-Ferrat,http://dbpedia.org/resource/Grand-Hôtel_du_Cap-Ferrat,100.0,"(43.6839, 7.23264)"
http://data.linkedevents.org/location/ea5a808a-6769-4813-8fc4-650aa0887aeb,Hotel Negresco,Hotel Negresco,http://dbpedia.org/resource/Hotel_Negresco,100.0,"(43.6947, 7.25802)"
http://data.linkedevents.org/location/ff117b4f-bcca-3620-950a-4478b9154697,Jardín Botánico de Niza,Jardín Botánico de Niza,http://dbpedia.org/resource/Jardin_botanique_de_la_Ville_de_Nice,100.0,"(43.6851, 7.2101)"
http://data.linkedevents.org/location/eb043ada-a049-3952-9149-f3cc9070e880,Les Cedres,Les Cèdres,http://dbpedia.org/resource/Jardin_botanique_%22Les_Cèdres%22,100.0,"(43.6897, 7.23895)"
http://data.linkedevents.org/location/bdaf5e33-8469-39d5-8c9f-e60cbedac8e8,"Magnan, Nice",Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),100.0,"(43.7139, 7.23644)"
http://data.linkedevents.org/location/274fc357-6730-4b4f-a779-d2d99845bca0,Musée International d’art Naif Anatole Jakovsky,Musée international d'art naïf Anatole Jakovsky,http://dbpedia.org/resource/Musée_international_d'Art_naïf_Anatole_Jakovsky,100.0,"(43.6862, 7.23286)"
http://data.linkedevents.org/location/1e71ebd3-d495-4c35-88ff-3f749b65263b,Musée Matisse,Musée Matisse,http://dbpedia.org/resource/Musée_Matisse_(Nice),100.0,"(43.7195, 7.27601)"
http://data.linkedevents.org/location/d91874f6-b885-3362-9dd5-180114c6ddd7,Negresco,Negresco,http://dbpedia.org/resource/Hotel_Negresco,100.0,"(43.7003, 7.25248)"
http://data.linkedevents.org/location/9ff42bb1-0cf8-3cd1-a80b-11b271a115e5,Nellcôte,Nellcôte,http://dbpedia.org/resource/Nellcôte,100.0,"(43.7018, 7.32153)"
http://data.linkedevents.org/location/1285a0ea-7eba-33e5-ad93-63941cef1dd4,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.7393, 7.26982)"
http://data.linkedevents.org/location/2188c6d9-da1e-3cc8-a7ce-21cd5c53ec2a,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.7301, 7.18837)"
http://data.linkedevents.org/location/2e7cb4ef-677d-3c62-9ff5-d23f7ba3d742,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.6937, 7.28808)"
http://data.linkedevents.org/location/37cf7093-762b-3949-ad57-6121d377b9d4,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.6831, 7.2339)"
http://data.linkedevents.org/location/4eae8325-8bd2-378c-a90e-07b9503e8258,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.7041, 7.29785)"
http://data.linkedevents.org/location/50fbac29-c16d-3f28-b022-b322ae1102c8,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.7012, 7.26853)"
http://data.linkedevents.org/location/c618ee8b-760a-34ab-b674-0e633138bef3,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.6949, 7.26736)"
http://data.linkedevents.org/location/d784a8e1-c8e4-3bcb-a09b-6623e46639af,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.6922, 7.24428)"
http://data.linkedevents.org/location/dcadce63-5660-3fcb-b184-3044a2a40c33,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.7027, 7.26685)"
http://data.linkedevents.org/location/ee1882f9-14ac-341a-84fb-4a36f4387152,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.694, 7.25978)"
http://data.linkedevents.org/location/f38d0aa8-a830-3abf-93b9-dabf6c7e549d,Nice,Nice,http://dbpedia.org/resource/Nice,100.0,"(43.7269, 7.2629)"
http://data.linkedevents.org/location/579aa423-cb1b-3d35-90d5-ef482aa093ad,Nice Lawn Tennis Club,Nice Lawn Tennis Club,http://dbpedia.org/resource/Nice_Lawn_Tennis_Club,100.0,"(43.7043, 7.25188)"
http://data.linkedevents.org/location/0b4e13ed-1681-3a73-b3d0-0b2e0e711ef9,Niza,Niza,http://dbpedia.org/resource/Nice,100.0,"(43.7034, 7.2663)"
http://data.linkedevents.org/location/ca1ecfc9-6d74-327e-a949-060d0a847d10,Observatoire Oceanologique de Villefranche,Observatoire Oceanologique de Villefranche,http://dbpedia.org/resource/Observatoire_Oceanologique_de_Villefranche,100.0,"(43.6964, 7.30667)"
http://data.linkedevents.org/location/759f64c3-8b08-499c-89a2-81db3d2e3b76,Observatoire de Nice,Observatoire de Nice,http://dbpedia.org/resource/Nice_Observatory,100.0,"(43.7274, 7.29907)"
http://data.linkedevents.org/location/4f8cc02a-dd95-379a-b1e2-c6a9345d3781,Ogc nice,OGC Nice,http://dbpedia.org/resource/OGC_Nice,100.0,"(43.7034, 7.25348)"
http://data.linkedevents.org/location/8def51a5-de30-37ac-9d10-8e83fde2638f,Olympique Gymnaste Club de Nice-Côte d'Azur,Olympique Gymnaste Club de Nice Côte d'Azur,http://dbpedia.org/resource/OGC_Nice,100.0,"(43.7054, 7.19442)"
http://data.linkedevents.org/location/37012dce-9584-49c9-af70-68dc192a9ef4,Opéra de Nice,Opéra de Nice,http://dbpedia.org/resource/Opéra_de_Nice,100.0,"(43.6954, 7.27255)"
http://data.linkedevents.org/location/ce05490c-b7eb-3b0f-b8cd-d4439079684f,Opéra de Nice,Opéra de Nice,http://dbpedia.org/resource/Opéra_de_Nice,100.0,"(43.6958, 7.27156)"
http://data.linkedevents.org/location/20a9c6d5-434c-4aa3-a0d6-9e40f090ed8f,Palais Lascaris,Palais Lascaris,http://dbpedia.org/resource/Palais_Lascaris,100.0,"(43.6977, 7.27725)"
http://data.linkedevents.org/location/803dddd2-91ed-3328-84fa-1c87df8ec5e4,Palais Lascaris,Palais Lascaris,http://dbpedia.org/resource/Palais_Lascaris,100.0,"(43.6977, 7.27725)"
http://data.linkedevents.org/location/ff2228b7-e347-43c0-bb7d-501a0171636c,Palais Nikaia,Palais Nikaia,http://dbpedia.org/resource/Palais_Nikaia,100.0,"(43.6785, 7.19897)"
http://data.linkedevents.org/location/cad9c74a-e1d8-476c-b874-72d5577f163e,Parc Phoenix,Parc Phœnix,http://dbpedia.org/resource/Parc_Phœnix,100.0,"(43.6683, 7.21754)"
http://data.linkedevents.org/location/34f7c16b-9051-38c5-84eb-8bb727b9b803,Parc Phoenix Nice,Parc Phœnix,http://dbpedia.org/resource/Parc_Phœnix,100.0,"(43.6742, 7.19706)"
http://data.linkedevents.org/location/87f277f2-5162-3bc7-b647-5192c3f1dc8e,Parc Phœnix,Parc Phœnix,http://dbpedia.org/resource/Parc_Phœnix,100.0,"(43.6683, 7.21754)"
http://data.linkedevents.org/location/2771d356-a039-3f8b-ad0f-358acffaee17,Promenade des Anglais,Promenade des Anglais,http://dbpedia.org/resource/Promenade_des_Anglais,100.0,"(43.6934, 7.25476)"
http://data.linkedevents.org/location/81d857b7-9195-4cb0-a0ad-127b9924ee92,Promenade des Anglais,Promenade des Anglais,http://dbpedia.org/resource/Promenade_des_Anglais,100.0,"(43.6911, 7.2475)"
http://data.linkedevents.org/location/e5e52f18-e8c3-3b35-8674-88524b23a10e,"Russian Orthodox Cemetery, Nice","Russian Orthodox Cemetery, Nice","http://dbpedia.org/resource/Russian_Orthodox_Cemetery,_Nice",100.0,"(43.6783, 7.21611)"
http://data.linkedevents.org/location/b6790887-3582-37f0-80d7-8ac91003930d,Saint-André-de-la-Roche,Saint-André-de-la-Roche,http://dbpedia.org/resource/Saint-André-de-la-Roche,100.0,"(43.7489, 7.28424)"
http://data.linkedevents.org/location/ffc2adaf-5478-3402-8985-6cd21edd092b,Saint-André-de-la-Roche,Saint-André-de-la-Roche,http://dbpedia.org/resource/Saint-André-de-la-Roche,100.0,"(43.7411, 7.2883)"
http://data.linkedevents.org/location/09d76e37-e222-3951-af84-4102c19fc533,Saint-Laurent-du-Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,100.0,"(43.668, 7.188)"
http://data.linkedevents.org/location/2e6a7e7a-74c6-3a53-bc3a-b842404d460a,"Sainte Jeanne d'Arc, Nice","Sainte Jeanne d'Arc, Nice","http://dbpedia.org/resource/Sainte_Jeanne_d'Arc,_Nice",100.0,"(43.7134, 7.2626)"
http://data.linkedevents.org/location/4c37ff07-84f9-3bbd-8684-e132bef031c2,Stade du Ray,Stade du Ray,http://dbpedia.org/resource/Stade_du_Ray,100.0,"(43.6823, 7.22852)"
http://data.linkedevents.org/location/8c3490cf-d609-4a96-8b78-542de8aa3754,Stade du Ray,Stade du Ray,http://dbpedia.org/resource/Stade_du_Ray,100.0,"(43.7233, 7.25875)"
http://data.linkedevents.org/location/a7eb8d2a-1424-3750-8772-52fcce6695ce,Stadio Charles Ehrmann,Stadio Charles Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,100.0,"(43.6783, 7.19778)"
http://data.linkedevents.org/location/e8eb056b-a24b-36ea-bff3-b7fee89f4c51,Terra Amata (archaeological site),Terra Amata (archaeological site),http://dbpedia.org/resource/Terra_Amata_(archaeological_site),100.0,"(43.6978, 7.28944)"
http://data.linkedevents.org/location/e924c2b4-fd26-3610-a746-6dcc73cd68c1,Villa Leopolda,Villa Leopolda,http://dbpedia.org/resource/Villa_Leopolda,100.0,"(43.7094, 7.32111)"
http://data.linkedevents.org/location/d8430e07-cd64-31d6-804f-bda1f16ffc93,Villa Paradiso,Villa Paradiso,http://dbpedia.org/resource/Villa_Paradiso,100.0,"(43.7091, 7.27208)"
http://data.linkedevents.org/location/0cac804e-4909-3326-83a6-c24757325011,Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,100.0,"(43.7036, 7.31208)"
http://data.linkedevents.org/location/c827deef-47f2-369a-8f3a-59a4f76a3dc4,Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,100.0,"(43.7042, 7.31167)"
http://data.linkedevents.org/location/7d6d0cad-d27e-365d-9751-236b3563baef,drap,Drap,http://dbpedia.org/resource/Drap,100.0,"(43.751, 7.32169)"
http://data.linkedevents.org/location/45624bb8-ead6-327c-9c72-b5fcec1252a3,villa Kerylos,Villa Kerylos,http://dbpedia.org/resource/Villa_Kerylos,100.0,"(43.6943, 7.27809)"
http://data.linkedevents.org/location/e5a7b599-f1a3-34c3-aa96-b8976fde65e2,Ницца,Ницца,http://dbpedia.org/resource/Nice,100.0,"(43.7034, 7.2663)"
http://data.linkedevents.org/location/01efe89a-f3c9-3941-a431-1e2167a3c1c6,ملعب تشارلز-أرمان,ملعب تشارلز-أرمان,http://dbpedia.org/resource/Stade_Charles-Ehrmann,100.0,"(43.6783, 7.19778)"
http://data.linkedevents.org/location/25cf9930-650e-41c8-9e7f-987666e2f721,Musée d'art moderne et d'art contemprorain,Musée d'Art Moderne et d'Art Contemporain,http://dbpedia.org/resource/Musée_d'art_moderne_et_d'art_contemporain,98.6,"(43.7014, 7.27852)"
http://data.linkedevents.org/location/f9b67ce3-84e3-35b4-b498-d617ef454a77,Olympique Gymnase Club Nice Côte d'Azur,Olympique Gymnaste Club Nice Côte d'Azur,http://dbpedia.org/resource/OGC_Nice,98.2,"(43.7243, 7.2587)"
http://data.linkedevents.org/location/5b9d3677-9ad5-3643-94ac-6e72541c2833,Acropolis,Acropolis (Nice),http://dbpedia.org/resource/Palais_des_Congrès_Acropolis,98.0,"(43.6794, 7.20115)"
http://data.linkedevents.org/location/c19f553c-06cd-3dee-8626-fa4e801fc664,Acropolis,Acropolis (Nice),http://dbpedia.org/resource/Palais_des_Congrès_Acropolis,98.0,"(43.7047, 7.2808)"
http://data.linkedevents.org/location/9a5dc035-9263-357b-8d7b-cf22476b6989,Au Parc Phoenix Nice,Parc Phœnix,http://dbpedia.org/resource/Parc_Phœnix,97.4,"(43.6682, 7.21531)"
http://data.linkedevents.org/location/19a7b596-f6eb-3161-88a5-b54fe7640876,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4,"(43.6917, 7.24577)"
http://data.linkedevents.org/location/3951c4aa-c112-3891-938e-1277e023228f,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4,"(43.6919, 7.24483)"
http://data.linkedevents.org/location/e4a459b4-83b7-3000-bfc4-bd2f97a6b812,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4,"(43.6903, 7.24583)"
http://data.linkedevents.org/location/2aac7f79-9c93-3c37-8325-3f3646f2c275,Au Château De Nice,Château de Nice,http://dbpedia.org/resource/Castle_of_Nice,97.2,"(43.7253, 7.28531)"
http://data.linkedevents.org/location/93df7523-3b28-3a9e-b745-97be2eecc7b8,Dojo Saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,97.2,"(43.6879, 7.18402)"
http://data.linkedevents.org/location/5cb16447-06b1-3450-851b-f903dd619515,Le Negresco Nice,Negresco,http://dbpedia.org/resource/Hotel_Negresco,97.0,"(43.6695, 7.2165)"
http://data.linkedevents.org/location/5f0763a9-c71e-3633-9b7e-5d781bcf6deb,Le Paillon,Paillon,http://dbpedia.org/resource/Paillon,96.8,"(43.7119, 7.28395)"
http://data.linkedevents.org/location/d8651d73-c7d3-38a7-a3a7-10adc8385f9b,Le Paillon,Paillon,http://dbpedia.org/resource/Paillon,96.8,"(43.7359, 7.3045)"
http://data.linkedevents.org/location/d5dc87d3-e5da-3766-8bf0-f969fe67874f,"[u'ACTUAL SAINT LAURENT DU VAR', u""Actual l'Agencemploi""]",Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.6,"(43.6776, 7.19056)"
http://data.linkedevents.org/location/57de060e-82b6-3749-bc1a-b4609915b0d5,Common Saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.6,"(43.6776, 7.18386)"
http://data.linkedevents.org/location/f2ceec1c-efae-3d19-b6fa-b7b87bede75f,Common Saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.6,"(43.6745, 7.188)"
http://data.linkedevents.org/location/2fb8af44-c116-3e3b-a9a9-affe5149f749,EEDF Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.4,"(43.6734, 7.22533)"
http://data.linkedevents.org/location/25d5106a-2606-483f-be18-a6f7aefcad62,Stade Allianz Riviera,Allianz Riviera,http://dbpedia.org/resource/Allianz_Riviera,96.4,"(43.7049, 7.19261)"
http://data.linkedevents.org/location/898b3d4a-11aa-38e9-9e2c-17332c6d3622,AUTOZEN SAINT LAURENT DU VAR,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.2,"(43.6976, 7.18415)"
http://data.linkedevents.org/location/5dbedb07-000d-3fc6-8cba-9942ea799dfa,Alianz Riviera,Allianz Riviera,http://dbpedia.org/resource/Allianz_Riviera,96.2,"(43.7513, 7.21687)"
http://data.linkedevents.org/location/5913971c-a50b-35fe-9d21-a3175b760029,Baie De Villefranche Sur Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,96.2,"(43.6942, 7.30598)"
http://data.linkedevents.org/location/2526f97d-c74d-37c2-b390-968e3d7c61cd,Gare de Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,96.2,"(43.707, 7.31428)"
http://data.linkedevents.org/location/63b6b680-16a0-3dbc-bfbc-1ce1f0a93327,CHU Cimiez,Cimiez,http://dbpedia.org/resource/Cimiez,96.0,"(43.7186, 7.26191)"
http://data.linkedevents.org/location/b5183cee-7d9a-3085-825f-ace9c1522f04,Museo Marc-Chagall,Musée Marc Chagall,http://dbpedia.org/resource/Musée_Marc_Chagall,96.0,"(43.7092, 7.26954)"
http://data.linkedevents.org/location/d37f7ce8-58e4-3e38-8bd1-ec4f7ab8066a,Stade Charles Erhmann,Stade Charles-Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,96.0,"(43.7053, 7.26456)"
http://data.linkedevents.org/location/be084093-7487-4c11-aad0-0abaaa298ca6,Stade Charles ehhmann,Stade Charles-Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,96.0,"(43.6782, 7.19769)"
http://data.linkedevents.org/location/86980b77-76ea-375c-b3d7-1b78566e5818,Villefrenche Sur Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,96.0,"(43.6919, 7.29435)"
http://data.linkedevents.org/location/103a13a2-b8a5-3974-95cf-485ab7015848,"[u'Centre international de formation europ\xe9enne CIFE', u'Cife']",Centre International de Formation Européenne,http://dbpedia.org/resource/Centre_International_de_Formation_Européenne,95.6,"(43.6952, 7.25418)"
http://data.linkedevents.org/location/2ab8fb6e-aea1-3c67-958c-163fb4cc7183,EDHEC Nice,BBA EDHEC,http://dbpedia.org/resource/Espeme,95.6,"(43.6784, 7.22976)"
http://data.linkedevents.org/location/a3fbc2fb-0bf1-337d-b643-b8cbf4678741,Jeep Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,95.6,"(43.6613, 7.19561)"
http://data.linkedevents.org/location/f79d0283-b4bd-3211-9ad5-14ade37f4c46,Mairie de Villefranche sur Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,95.6,"(43.7028, 7.3112)"
http://data.linkedevents.org/location/f487d9c1-abd6-3333-96ef-bf77e7eb5326,"[u'Mairie de Villefranche-sur-Mer', u'Ville de Villefranche-sur-Mer']",Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,95.6,"(43.7014, 7.31078)"
